Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
64,ROCKY7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
65,ROCKY8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
66,ROCKY9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
67,ROCKY10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
68,ROCKY11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
69,ROCKY12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
70,ROCKY13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
71,ROCKY14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
72,ROCKY15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
73,ROCKY16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
74,ROCKY17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
75,ROCKY18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
76,ROCKY19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
77,ROCKY20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
78,ROCKY21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
79,ROCKY22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
80,ROCKY23,462.562500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
81,ROCKY24,462.587500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
82,ROCKY25,462.612500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
83,ROCKY26,462.637500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
84,ROCKY27,462.662500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
85,ROCKY28,462.687500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
86,ROCKY29,462.712500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,5.0W,,,,,
87,ROCKY30,467.562500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
88,ROCKY31,467.587500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
89,ROCKY32,467.612500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
90,ROCKY33,467.637500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
91,ROCKY34,467.662500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
92,ROCKY35,467.687500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
93,ROCKY36,467.712500,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,12.50,,1.5W,,,,,
94,ROCKY37,462.550000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
95,ROCKY38,462.575000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
96,ROCKY39,462.600000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
97,ROCKY40,462.625000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
98,ROCKY41,462.650000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
99,ROCKY42,462.675000,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
